<PRE># This is the usage logfile of the grady game
# There are three kinds of log lines of the following types
#
#    csv = game_id,s,timestamp,player_type,game_type,tolerance,a,b,c,"min  // the s stands for ""start"" log"
#    csv = game_id,a,timestamp,guess_num,x,"y                              // the first a stands for ""attempt"" log"
#    csv = game_id,f,timestamp,num_guesses,"outcome                        // the f stands for ""final"" log"
1ffcdb8c,s,1710728240763,nerd,analytical,1,0.8662603917238719,9.49644256714867,9.456297257327808,-5.481286376403865
8baec6e,s,1710728268542,nerd,analytical,1,8.782443121832129,3.8504112947037665,-7.338318660607836,-0.21921071627165414
379e359,s,1710728301386,bird,visual,1,9.426378504634329,-9.540172734119768,-8.307089004213381,0.5060359463302632
3846a291,s,1710728854792,nerd,analytical,1,6.611505889997967,6.275084903756593,7.849489674229918,-0.4745579152587371
2b6d1cab,s,1710729001442,nerd,analytical,2,0.7710731130470371,-4.1260037390479525,2.598521505272661,2.675494495420344
d5b3ab0,s,1710729041390,nerd,visual,1,4.648364333667256,-9.307049067665654,8.071018312766459,1.0011101109541256
2e14bfca,s,1710729075602,nerd,visual,1,6.280724531404387,-3.8654414981732144,-5.969205905411634,0.3077225787284203
90b08c0,s,1710729147012,bird,analytical,3,2.5936879240057196,1.9629577026511225,-1.3641431276104683,-0.37841054131514584
1a488b23,s,1710729665423,nerd,visual,1,1.4767000718548928,0.5338354878001752,5.207127102693043,-0.1807528481831862
1a488b23,a,1710729668263,1,0,5.207127102693043
1a488b23,a,1710729670287,2,2,12.181598365712965
1a488b23,a,1710729671744,3,0,5.207127102693043
1a488b23,f,1710729675966,3,Alas!
2cf63815,s,1710731119903,both,visual,1,1.8164252460881136,-6.500404419792156,-9.63251825831042,1.7893399229589946
2cf63815,a,1710731122451,1,0,-9.63251825831042
2cf63815,a,1710731123361,2,1,-14.316497432014462
2cf63815,a,1710731126477,3,4,-6.571332000069226
2cf63815,a,1710731127477,4,5,3.2760907949316405
2cf63815,a,1710731128840,5,0,-9.63251825831042
2cf63815,a,1710731130291,6,1,-14.316497432014462
2cf63815,f,1710731133436,6,Alas!
2a5378f7,s,1710731380382,bored,visual,1,0.9269883404167166,8.840394781787623,-4.4753584013727865,-4.76834195013366
2a5378f7,a,1710731383618,1,0,-4.4753584013727865
2a5378f7,a,1710731384368,2,2,16.913384523869325
2a5378f7,a,1710731385541,3,1,5.292024720831553
2a5378f7,a,1710731388326,4,6,81.93859054435474
2a5378f7,f,1710731391453,4,Alas!
3573403f,s,1710731407226,both,visual,1,5.261323178054264,9.40559530471818,5.027024113725984,-0.8938431442446143
3573403f,a,1710731409675,1,0,5.027024113725984
b374aa8,s,1710731415288,both,visual,1,4.551137207719102,1.8408199242999288,7.444062765780725,-0.20223735742110205
37d8b85a,s,1710731418801,nerd,analytical,1,3.0455403964743577,-2.645075371516299,7.034332298550563,0.4342538642039269
37d8b85a,a,1710731420990,1,0,7.034332298550563
37d8b85a,a,1710731422411,2,1,7.434797323508622
37d8b85a,a,1710731423196,3,3,26.508969752270882
37d8b85a,a,1710731423845,4,4,45.18267715607509
37d8b85a,a,1710731424448,5,5,69.94746535282802
37d8b85a,a,1710731425726,6,1,7.434797323508622
37d8b85a,f,1710731428261,6,Alas!
1ad16972,s,1710741188806,both,analytical,1,1.6561254076261145,4.9234078451147845,7.473896215416026,-1.4864236193839884
1ad16972,a,1710741190403,1,3,37.149248419395406
1ad16972,a,1710741191176,2,4,53.665534117892996
1ad16972,a,1710741191729,3,5,73.49407063164281
8db98e8,s,bored,analytical,9.957640523036874,5.850919870701869,1.7957058616340547,-0.2937904746192555,1710777937822
8db98e8,a,0,1.7957058616340547,1,1710777941393
8db98e8,a,1,17.6042662553728,2,1710777942894
8db98e8,a,-1,5.9024265139690595,3,1710777945599
8db98e8,a,0.5,7.210575927744207,4,1710777949092
8db98e8,a,-0.5,1.3596560570423386,5,1710777952387
8db98e8,a,-0.4,1.048560397039207,6,1710777958991
5ac9c27,s,1710777967571,bored,visual,1,7.429897842950872,8.66571529581083,-6.579860410482741,-0.5831651712434002
5ac9c27,a,1710777969975,1,0,-6.579860410482741
5ac9c27,a,1710777972441,2,1,9.515752728278962
5ac9c27,a,1710777978321,3,-0.5,-9.055243597650438
5ac9c27,a,1710777984687,4,-1,-7.8156778633426995
35147137,s,1710793460659,bird,analytical,1,1.8703456818766817,-0.4924876326695582,4.646377410718102,0.13165684756611468
35147137,a,1710793463816,1,0,4.646377410718102
35147137,a,1710793466024,2,2,11.142784872885713
35147137,a,1710793467078,3,1,6.024235459925226
35147137,a,1710793468693,4,9,151.71198894870327
35147137,a,1710793471837,5,4,32.60195779006678
35147137,f,1710793474461,5,Alas!
37fa9c24,s,1710794343568,both,analytical,1,2.988599279921915,-0.6830267713396978,-1.2599389122597273,0.11427205646612208
37fa9c24,a,1710794345517,1,1,1.04563359632249
37fa9c24,a,1710794346364,2,2,9.328404664748538
37fa9c24,a,1710794347061,3,3,23.588374293018415
